Date,Volatility
2012-09-17,0.013846739543907697
2012-09-18,0.01434005989777439
2012-09-19,0.014615382329184351
2012-09-20,0.014540781820682823
2012-09-21,0.014488564601509352
2012-09-24,0.01439169900047689
2012-09-25,0.014271463889248914
2012-09-26,0.014159806808914398
2012-09-27,0.014000893400754885
2012-09-28,0.013799840115478265
2012-10-01,0.013668820657366468
2012-10-02,0.013561666961160696
2012-10-03,0.013526239247109084
2012-10-04,0.013318552645942719
2012-10-05,0.013130810007168339
2012-10-08,0.012893210211657674
2012-10-09,0.01272259602685916
2012-10-10,0.012536274998548166
2012-10-11,0.01231796966341822
2012-10-12,0.012151419502943362
2012-10-15,0.012017722823316052
2012-10-16,0.011952841183374835
2012-10-17,0.011971597326879413
2012-10-18,0.011967177869600837
2012-10-19,0.012032889285497235
